SampleID,SampleType,Copies_16S/uL averaged (from ddPCR output),Copies_16S/uL_DNAtemplate,Copies_16S/mL_sputum (or designated control)
SP170,Sputum,441.37,1379268.5,1438380010
SP229,Sputum,202.99,634337.07,661522941.9
SP288,Sputum,442.46,1382684.33,1441942226
SP304,Sputum,337.28,1054005.15,1099176795
SP416,Sputum,137.07,428356.12,446714242.5
SP431,Sputum,177.19,553712.82,577443370.5
SP436,Sputum,74.28,232112.18,242059846.1
SP481,Sputum,3.02,9439.15,9843687.2
SP517,Sputum,152.73,477286.2,497741318.4
SP533,Sputum,513.18,1603672.89,1672401724
SP539,Sputum,326.27,1019594.34,1063291236
SP572,Sputum,403.35,1260473.06,1314493335
SP574,Sputum,57.61,180023.85,187739156.8
SP692,Sputum,328.3,1025923.73,1069891889
SP790,Sputum,899.47,2810856.63,2931321912
SP997,Sputum,862.26,2694565.2,2810046567
SP1003,Sputum,200.22,625685.14,652500221.1
SP1133,Sputum,148.79,464975.21,484902723.2
SP1162,Sputum,840.5,2626558.59,2739125387
SP1249,Sputum,314.49,982784.41,1024903746
SP1251,Sputum,"2,689.74",8405445.48,8765678858
SP1317,Sputum,48.66,152069.74,158587009.9
SP1319,Sputum,207.28,647750.14,675510859.5
SP1326,Sputum,4.27,13345.62,13917576.73
SP1353,Sputum,340.2,1063130.14,1108692861
SP1369,Sputum,28.25,88275.1,92058323.54
SP1398,Sputum,116.02,362551.58,378089506.8
SP1442,Sputum,"2,395.66",7486435.7,7807282944
SP1462,Sputum,35.65,111393.75,116167767.6
SP1519,Sputum,236.05,737653.97,769267712.3
SP1528,Sputum,418.08,1306490.37,1362482818
SP1583,Sputum,23.05,72042.72,75130266.72
SP1588,Sputum,119.29,372774.46,388750506.1
SP1623,Sputum,282.39,882464.31,920284212.7
SP1665,Sputum,100.66,314552.57,328033393.8
SP1672,Sputum,465.54,1454816.96,1517166260
SP1685,Sputum,"1,328.22",4150699.04,4328586145
SP1704,Sputum,165.13,516040.44,538156463.4
SP1712,Sputum,208.51,651593.16,679518581.8
SP1733,Sputum,470.57,1470544.77,1533568115
SP1741,Sputum,254.4,794999.1,829070488.7
SP1745,Sputum,803.08,2509639.64,2617195629
SP1795,Sputum,97.76,305492.62,318585156.4
SP1797,Sputum,273.5,854691.93,891321588.9
SP1798,Sputum,419.92,1312252.28,1368491667
SP1802,Sputum,136.95,427954.65,446295563.5
SP1804,Sputum,127.64,398879.38,415974215.8
SP1844,Sputum,2.59,8082.05,8428425.21
SP1895,Sputum,157.68,492759.61,513877878.2
SP1912,Sputum,"1,062.44",3320131.49,3462422842
SP1980,Sputum,352.3,1100929.21,1148111893
SP1983,Sputum,242,756237.39,788647561.4
SP1989,Sputum,947.95,2962350.18,3089308043
SP2000,Sputum,38.08,118985.09,124084453.8
SP2026,Sputum,224.02,700073.27,730076406
SP2027,Sputum,161.09,503416.2,524991184.6
SP2045,Sputum,757.79,2368094.73,2469584505
SP2061,Sputum,227.6,711255.31,741737682.5
SP2081,Sputum,130.69,408403.05,425906038.8
SP2082,Sputum,292.05,912665.37,951779597.2
SP2087,Sputum,212.65,664522.05,693001568.3
SP2097,Sputum,116.47,363971.36,379570137.3
SP2113,Sputum,9.06,28307.4,29520576.51
SP2228,Sputum,229.19,716211.34,746906114.7
SP2234,Sputum,193.66,605185.2,631121707.3
SP2246,Sputum,643.04,2009497.55,2095618871
SP2255,Sputum,247.27,772722.84,805839533.5
SP2265,Sputum,374.96,1171735.53,1221952762
SP2281,Sputum,166.72,521000.41,543328998.1
SP2285,Sputum,168.88,527762.15,550380528.7
SP2291,Sputum,107.96,337372.86,351831700.3
SP2328,Sputum,111.06,347057.72,361931626.5
SP2342,Sputum,25.05,78295.84,81651377.89
SP2356,Sputum,440.58,1376813.27,1435819552
SP2389,Sputum,120.05,375140.8,391218260.9
SP2410,Sputum,165.49,517158.46,539322394.6
SP2415,Sputum,169.75,530480.86,553215755.7
SP2416,Sputum,190.17,594274.52,619743428.9
SP2420,Sputum,134.36,419872.12,437866636.3
SP2434,Sputum,48.08,150261.31,156701083.3
SP2442,Sputum,644.59,2014338.11,2100666888
SP2468,Sputum,93.51,292209.8,304733081.4
SP2470,Sputum,177.09,553419.49,577137473
SP2480,Sputum,212.79,664979.58,693478701.8
SP2490,Sputum,720.04,2250113.39,2346546823
SP2500,Sputum,220.93,690400.93,719989545.7
SP2527,Sputum,298.32,932256.13,972209960.4
SP2529,Sputum,45.23,141340.22,147397658
SP2532,Sputum,279.05,872037.03,909410044.8
SP2565,Sputum,194.08,606490.02,632482445.2
SP2583,Sputum,87.65,273895.65,285634029.9
SP2588,Sputum,162.38,507432.94,529180063.5
SP2594,Sputum,250.23,781979.39,815492796.6
SP2606,Sputum,69.42,216942.04,226239552
SP2621,Sputum,"1,962.71",6133458.71,6396321226
SP2630,Sputum,242.41,757515.67,789980626.1
SP2635,Sputum,213.37,666792.99,695369831.2
SP2646,Sputum,43.96,137378.39,143266040.1
SP2660,Sputum,147.75,461727.67,481515995.4
SP2661,Sputum,322.43,1007599.54,1050782382
SP2679,Sputum,289.53,904787.3,943563900.7
SP2693,Sputum,877.25,2741418.08,2858907422
SP2707,Sputum,17.05,53270.64,55553668.44
SP2711,Sputum,126.34,394806.5,411726783
SP2714,Sputum,"1,440.57",4501776.31,4694709584
SP2733,Sputum,891.28,2785236.64,2904603930
SP2756,Sputum,210.04,656370.4,684500561.4
SP2766,Sputum,831.28,2597749.71,2709081841
SP2801,Sputum,38.1,119055.65,124158031.5
SP2803,Sputum,239.63,748858.59,780952534.7
SP2816,Sputum,315,984375.76,1026563296
SP2827,Sputum,"1,654.50",5170316.89,5391901896
SP2828,Sputum,148.9,465304.35,485245965.9
SP2830,Sputum,"1,879.86",5874576.95,6126344534
SP2831,Sputum,"1,369.57",4279909.13,4463333811
SP2861,Sputum,72.55,226730.28,236447287
SP2899,Sputum,857.43,2679459.95,2794293951
SP2911,Sputum,209.7,655323.93,683409246
SP2953,Sputum,882.75,2758608.82,2876834910
SP2960,Sputum,5.6,17504.25,18254436.3
SP2963,Sputum,50.13,156659.29,163373256.7
SP2973,Sputum,505.98,1581196.45,1648962013
SP2979,Sputum,316.65,989537.67,1031946425
SP2985,Sputum,860.72,2689736.08,2805010484
SP3010,Sputum,770.32,2407257.27,2510425440
SP3024,Sputum,95.64,298876.76,311685766.5
SP3057,Sputum,132.11,412842.35,430535588.6
SP3059,Sputum,860.87,2690209.87,2805504574
SP3060,Sputum,285.35,891728.5,929945432.1
SP3086,Sputum,263.9,824679.47,860022875.9
SP3095,Sputum,768.74,2402320.19,2505276774
SP3142,Sputum,351.15,1097348.74,1144377969
SP3151,Sputum,175.69,549016.19,572545454.8
SP3194,Sputum,"2,025.76",6330485.15,6601791660
SP3211,Sputum,153.62,480048.08,500621573.6
